,station_num,lon,lat,height
173,54645,117.4667,38.85,2.2
174,54646,118.42,38.45,
175,54647,118.88,39.17,2.0
176,54647,118.89528,39.17667,2.0
177,54700,115.93333,38.03333,16.2
178,54701,115.2,37.93333,35.9
179,54702,115.7,37.73333,20.7
180,54703,115.88333,37.8,21.3
181,54704,115.56139,37.51222,24.8
182,54705,115.38333,37.36667,27.4
183,54706,115.66667,37.08333,31.5
184,54707,115.98333,37.35,27.4
185,54708,115.73333,37.5,23.6
186,54710,116.16667,37.86667,18.6
187,54711,116.28333,37.7,18.3
188,54713,116.53333,37.88333,14.4
189,54717,116.4,37.63333,17.1
190,54719,116.68222,38.01194,10.8
191,54720,117.70889,38.4575,4.0
192,54720,117.71,38.46,4.0
193,54721,117.88361,38.34306,3.5
194,54721,117.88,38.34,3.5
195,54800,115.25,37.0,33.3
196,54801,115.48333,36.85,35.3
197,54804,115.18139,36.30417,45.3
198,54809,115.28333,36.55,41.3
199,54820,115.20778,36.81,39.0
200,A0302,115.49778,39.70639,492.0
201,A0303,115.76333,39.70389,507.0
202,A0304,115.77444,39.77139,582.0
203,A0305,115.53806,39.63556,185.0
204,A0306,115.545,39.66694,283.0
205,A0307,115.58639,39.61639,194.0
206,A0308,115.6625,39.61528,130.0
207,A0309,115.73889,39.53028,84.0
208,A0310,115.79472,39.51472,67.0
209,A0311,116.22583,39.81639,61.0
210,A0351,116.0,40.00472,175.0
211,A0352,116.04444,39.96583,238.0
212,A0353,116.0875,39.94306,109.0
213,A0354,115.97333,40.02,350.0
214,A0355,116.0975,39.88444,106.0
215,A0356,115.855,40.03028,305.0
216,A0357,115.83417,40.14639,693.0
217,A0451,115.93333,40.43528,480.0
218,A1001,116.39056,39.9,52.0
219,A1003,116.44333,39.93139,45.0
220,A1006,116.35444,39.93306,55.0
221,A1007,116.39667,39.98194,48.0
222,A1008,116.45861,39.97472,40.0
223,A1009,116.475,39.85306,37.0
224,A1010,116.30583,39.86194,48.0
225,A1013,116.31444,39.94444,55.0
226,A1014,116.42833,39.90528,48.0
227,A1015,116.35056,39.87139,48.0
228,A1016,116.40472,39.88444,47.0
229,A1017,116.39056,40.0225,41.0
230,A1018,116.48194,39.94444,40.0
231,A1019,116.21167,39.91556,74.0
232,A1020,116.38889,39.87194,49.0
233,A1021,116.28139,39.80667,51.0
234,A1022,116.16611,39.87889,89.0
235,A1023,116.39833,39.83,40.0
236,A1024,116.29111,39.94528,58.0
237,A1029,116.30583,39.91389,56.0
238,A1030,116.42778,39.87306,44.0
239,A1031,116.17139,39.96417,380.0
240,A1032,116.195,39.99667,105.0
241,A1033,116.18111,40.13583,51.0
242,A1034,116.32111,40.01528,44.0
243,A1035,116.34222,39.81583,41.0
244,A1036,116.1575,39.93333,91.0
245,A1037,116.15917,39.80889,55.0
246,A1038,116.48083,39.9075,40.0
247,A1039,116.62167,39.97194,23.0
248,A1040,116.44,40.02806,44.0
249,A1041,116.59111,39.83056,29.0
250,A1042,116.40944,39.96833,50.0
251,A1043,116.23556,39.90417,63.0
252,A1045,116.26639,40.00389,55.0
253,A1046,116.34139,39.84611,44.0
254,A1047,116.39139,39.85639,44.0
255,A1048,116.48056,39.92556,41.0
256,A1049,116.35,39.90694,58.0
257,A1050,116.09028,40.08,160.0
258,A1051,116.09861,40.11139,73.0
259,A1052,116.54861,39.9075,31.0
260,A1053,116.27194,39.86694,54.0
261,A1054,116.235,40.06556,47.0
262,A1060,116.38417,39.90667,49.0
263,A1061,116.33333,39.98444,56.0
264,A1065,116.27694,39.90889,63.0
265,A1066,116.11389,39.85722,119.0
266,A1067,116.07167,39.86889,427.0
267,A1068,116.21028,39.96806,62.0
268,A1069,116.20389,40.0375,52.0
269,A1070,116.21639,39.84556,59.0
270,A1072,116.52639,39.87611,34.0
271,A1073,116.55556,40.00333,35.0
272,A1074,116.32139,39.94722,58.0
273,A1076,116.39444,39.91556,47.0
274,A1078,116.19389,39.87194,67.0
275,A1079,116.19833,39.87917,79.0
276,A1080,116.12444,39.93083,101.0
277,A1081,116.12,39.96667,150.0
278,A1085,116.52444,40.05806,24.0
279,A1086,116.50556,40.02361,38.0
280,A1087,116.51,39.96806,34.0
281,A1088,116.47528,39.83194,41.0
282,A1089,116.49722,39.87139,24.0
283,A1090,116.54528,39.93194,31.0
284,A1091,116.56139,39.88417,27.0
285,A1092,116.61333,39.90889,23.0
286,A1093,116.62167,39.93611,32.0
287,A1094,116.56278,39.94861,33.0
288,A1095,116.37833,39.77917,38.0
289,A1098,116.36306,39.87889,53.0
290,A1100,116.33972,39.90083,43.0
291,A1101,116.38028,39.95611,41.0
292,A1102,116.19806,39.89056,69.0
293,A1103,116.16972,39.89083,78.0
294,A1104,116.07583,39.8025,80.0
295,A1110,116.52472,39.9725,29.0
296,A1111,116.54889,39.9275,35.0
297,A1112,116.58944,40.04611,37.0
298,A1113,116.4175,40.00389,43.0
299,A1114,116.52694,40.01111,35.0
300,A1115,116.42944,39.96083,47.0
301,A1116,116.55917,39.965,31.0
302,A1117,116.575,39.98222,34.0
303,A1118,116.43806,40.05417,40.0
304,A1119,116.48167,40.04444,39.0
305,A1120,116.44722,39.91083,63.0
306,A1121,116.44167,39.91917,58.0
307,A1122,116.59083,39.85222,46.0
308,A1123,116.46444,39.93139,53.0
309,A1124,116.59639,39.875,29.0
310,A1125,116.44556,39.88139,43.0
311,A1126,116.46222,39.9475,44.0
312,A1201,116.77444,39.62917,13.0
313,A1202,116.68778,39.64,21.0
314,A1203,116.55528,39.74722,28.0
315,A1204,116.86361,39.83806,20.0
316,A1205,116.75111,39.92361,25.0
317,A1208,116.69778,39.68667,19.0
318,A1209,116.76889,39.77167,18.0
319,A1212,116.60944,39.8375,27.0
320,A1213,116.68611,39.90722,25.0
321,A1214,116.67889,39.95722,25.0
322,A1215,116.72361,39.75806,22.0
323,A1218,116.7875,39.84278,21.0
324,A1219,116.62806,39.84278,25.0
325,A1221,116.80222,39.86139,20.0
326,A1222,116.5675,39.81639,21.0
327,A1223,116.63722,39.82083,16.0
